theme_id,theme_raw,step0_class,concept_56,doc_freq,excerpt_freq,step2_keep,construct_22,category_5,example_excerpt_id,example_doc_id,example_page_in_pdf,example_snippet,attributes_9,decision_memo
THEME-011,Effectiveness,Governance_construct,Effectiveness,45,909,True,Effectiveness,Governance Mechanisms,7f7d8598e554,74debaea,3.0,"Source: UIA Website (http://www.uia.org/, retrieved at 2/25/2015) II. ROLES AND ACTIVITIESOF IGOs IGOs serve several roles in the international system. They can contribute to cooperative endeavors among states, and by do…",STR,
THEME-012,Power Dynamics,Governance_construct,Power and North–South dynamics,0,0,False,,,,,,,,Step1 normalisation: treated as lexical/terminological variant of 'Power and North–South dynamics'. No retained excerpt evidence in S4 for this theme under the current retrieval configuration.
THEME-013,Global Cooperation,Governance_construct,Global Cooperation,43,345,True,Global Cooperation,Inter-Institutional Relations,554d4cf63dac,74debaea,1.0,"Abstract In the process of globalization, several international actors have emerged besides states. The intergovernmental cooperation resulting from treaties or agreements in the forms of Intergovernmental Organizations …",HC; IIR,
THEME-014,Rule of Law,Governance_construct,Rule of Law,46,537,True,Rule of Law,Institutional Framework,7f7d8598e554,74debaea,3.0,"Source: UIA Website (http://www.uia.org/, retrieved at 2/25/2015) II. ROLES AND ACTIVITIESOF IGOs IGOs serve several roles in the international system. They can contribute to cooperative endeavors among states, and by do…",SoJ,
THEME-015,Innovation,Governance_construct,Innovation,45,667,True,"Learning, innovation and capacity building",Adaptive Capacity,7f7d8598e554,74debaea,3.0,"Source: UIA Website (http://www.uia.org/, retrieved at 2/25/2015) II. ROLES AND ACTIVITIESOF IGOs IGOs serve several roles in the international system. They can contribute to cooperative endeavors among states, and by do…",STR,"Step3 consolidation: mapped 'Innovation' into 'Learning, innovation and capacity building' based on co-occurrence and definitional overlap."
THEME-016,Environmental Sustainability,Governance_construct,Environmental Sustainability,45,708,True,Sustainable development and environmental sustainability,Governance Mechanisms,7f7d8598e554,74debaea,3.0,"Source: UIA Website (http://www.uia.org/, retrieved at 2/25/2015) II. ROLES AND ACTIVITIESOF IGOs IGOs serve several roles in the international system. They can contribute to cooperative endeavors among states, and by do…",DO,Step3 consolidation: mapped 'Environmental Sustainability' into 'Sustainable development and environmental sustainability' based on co-occurrence and definitional overlap.
THEME-017,Inclusiveness,Governance_construct,Inclusiveness,35,195,False,,,975ff3eb5d49,FULL-02,1.0,"LUND UNIVERSITY PO Box 117 221 00 Lund +46 46-222 00 00 International Organizations and the Global Environment Stephan, Hannes; Zelli, Fariborz Published in: The politics of the environment : a survey 2007 Document Versi…",,Step2 salience: excluded at doc_freq<38.
THEME-018,Capacity Building,Governance_construct,Capacity Building,38,207,True,"Learning, innovation and capacity building",Adaptive Capacity,cb4c0f8a5cf1,FULL-02,2.0,"Introduction The organisational network of global environmental governance (GEG) mirrors the complexity of the planet's manifold and overlapping ecosystems. Bursting onto the international stage in the 1970s, environment…",STR,"Step3 consolidation: mapped 'Capacity Building' into 'Learning, innovation and capacity building' based on co-occurrence and definitional overlap."
THEME-019,Collaboration,Governance_construct,Inter-agency coordination,48,1105,True,Inter-agency coordination,Inter-Institutional Relations,554d4cf63dac,74debaea,1.0,"Abstract In the process of globalization, several international actors have emerged besides states. The intergovernmental cooperation resulting from treaties or agreements in the forms of Intergovernmental Organizations …",HC; IIR,Step1 normalisation: treated as lexical/terminological variant of 'Inter-agency coordination'.
THEME-020,Compliance,Governance_construct,Compliance,45,821,True,Compliance and enforcement,Governance Mechanisms,7f7d8598e554,74debaea,3.0,"Source: UIA Website (http://www.uia.org/, retrieved at 2/25/2015) II. ROLES AND ACTIVITIESOF IGOs IGOs serve several roles in the international system. They can contribute to cooperative endeavors among states, and by do…",STR,Step3 consolidation: mapped 'Compliance' into 'Compliance and enforcement' based on co-occurrence and definitional overlap.
THEME-021,Conflict Resolution,Governance_construct,Conflict Resolution,44,641,True,Conflict Resolution,Governance Mechanisms,7f7d8598e554,74debaea,3.0,"Source: UIA Website (http://www.uia.org/, retrieved at 2/25/2015) II. ROLES AND ACTIVITIESOF IGOs IGOs serve several roles in the international system. They can contribute to cooperative endeavors among states, and by do…",STR,
THEME-022,Monitoring and Evaluation,Governance_construct,Monitoring and Evaluation,41,437,True,MRV and evaluation,Governance Mechanisms,b1559229504d,74debaea,5.0,The World Bank experienced a similar process as regards issues related to its development. The World Bank has updated itself in the face of new conditions that globalization has helped to bring about. By the end of the 2…,STR,Step3 consolidation: mapped 'Monitoring and Evaluation' into 'MRV and evaluation' based on co-occurrence and definitional overlap.
THEME-023,Ethical Governance,Governance_construct,Ethical Governance,13,36,False,,,2b6c98204f77,FULL-05,10.0,7. See http://www.equatorinitiative.org/index.php?lang=en (Accessed 21 December 2015) 8. See for example the Global Reporting Initiative. See https://www.glo balreporting.org/Pages/default.aspx (Accessed 21 December 2015…,,Step2 salience: excluded at doc_freq<38.
THEME-024,Intergenerational Equity,Governance_construct,Equity and intergenerational equity,45,699,True,Equity and intergenerational equity,Stakeholder Engagement,1715f7212423,FULL-09,25.0,CHAPTER 1 The changes wrought by economic and political liberalization have been sweeping. Yet even they have been superseded by the second force now reshaping the environment for international organizations. That force …,VC,Step1 normalisation: treated as lexical/terminological variant of 'Equity and intergenerational equity'.
THEME-025,Public Trust,Governance_construct,Public Trust,16,44,False,,,49eb2a0c2d63,FULL-02,6.0,"conscience – both coordinating and catalysing global environmental activities – resulted in a broad selection of seven priority areas: human settlements and habitats (later turned into UN Habitat), human and environmenta…",,Step2 salience: excluded at doc_freq<38.
THEME-026,Data Driven Governance,Governance_construct,Data-driven governance and indicators,2,6,False,,,cae29c7f9b23,FULL-09,158.0,"BIBLIOGRAPHY Jones, G.; Hesterly, W.S.; Borgatti, S.P. 1999. A general theory of network governance: exchange conditions and social mechanisms. Academy of Management Review, 22Lawson, C.; Lorenz, E. 1999Collective learni…",,Step1 normalisation: treated as lexical/terminological variant of 'Data-driven governance and indicators'. Step2 salience: excluded at doc_freq<38.
THEME-050,Reporting,Governance_construct,"Monitoring, reporting and verification",45,707,True,MRV and evaluation,Governance Mechanisms,5ad1fbfe21a2,FULL-02,3.0,"By 1992, when Stockholm's successor – the UN Conference on Environment and Development (UNCED) – was convened, the bipolar world had just come to an end. Optimism and a thirst for action were palpable at the 'Earth Summi…",STR,"Step1 normalisation: treated as lexical/terminological variant of 'Monitoring, reporting and verification'. Step3 consolidation: mapped 'Monitoring, reporting and verification' into 'MRV and evaluation' based on co-occurrence and definitional overlap."
THEME-059,Coordination,Governance_construct,Inter-agency coordination,48,1105,True,Inter-agency coordination,Inter-Institutional Relations,f53da17cdffd,74debaea,2.0,international organizations are categorized as two sets; Type I and Type II(The Yearbook of International Organizations). Type I refers to “the level of internationality of an organization” and Type II adds another dimen…,HC; IIR,Step1 normalisation: treated as lexical/terminological variant of 'Inter-agency coordination'.
THEME-120,Sustainable development,SMJ_descriptor,Sustainable development and SDGs,48,968,True,Sustainable development and environmental sustainability,Governance Mechanisms,7f7d8598e554,74debaea,3.0,"Source: UIA Website (http://www.uia.org/, retrieved at 2/25/2015) II. ROLES AND ACTIVITIESOF IGOs IGOs serve several roles in the international system. They can contribute to cooperative endeavors among states, and by do…",DO,Step1 normalisation: treated as lexical/terminological variant of 'Sustainable development and SDGs'. Step3 consolidation: mapped 'Sustainable development and SDGs' into 'Sustainable development and environmental sustainability' based on co-occurrence and definitional overlap.
THEME-032,Fit and interplay,Governance_construct,Institutional fit and interplay,0,0,False,,,,,,,,Step1 normalisation: treated as lexical/terminological variant of 'Institutional fit and interplay'. No retained excerpt evidence in S4 for this theme under the current retrieval configuration.
THEME-046,Standard-setting,Governance_construct,Standard-setting,36,383,False,,,b1559229504d,74debaea,5.0,The World Bank experienced a similar process as regards issues related to its development. The World Bank has updated itself in the face of new conditions that globalization has helped to bring about. By the end of the 2…,,Step2 salience: excluded at doc_freq<38.
THEME-069,Business participation,Governance_construct,Business participation,0,0,False,,,,,,,,No retained excerpt evidence in S4 for this theme under the current retrieval configuration.
THEME-049,Monitoring,Governance_construct,"Monitoring, reporting and verification",45,707,True,MRV and evaluation,Governance Mechanisms,7f7d8598e554,74debaea,3.0,"Source: UIA Website (http://www.uia.org/, retrieved at 2/25/2015) II. ROLES AND ACTIVITIESOF IGOs IGOs serve several roles in the international system. They can contribute to cooperative endeavors among states, and by do…",STR,"Step1 normalisation: treated as lexical/terminological variant of 'Monitoring, reporting and verification'. Step3 consolidation: mapped 'Monitoring, reporting and verification' into 'MRV and evaluation' based on co-occurrence and definitional overlap."
THEME-088,Representation,Governance_construct,Representation,42,520,True,"Participation, engagement and representation",Stakeholder Engagement,5ad1fbfe21a2,FULL-02,3.0,"By 1992, when Stockholm's successor – the UN Conference on Environment and Development (UNCED) – was convened, the bipolar world had just come to an end. Optimism and a thirst for action were palpable at the 'Earth Summi…",VC,"Step3 consolidation: mapped 'Representation' into 'Participation, engagement and representation' based on co-occurrence and definitional overlap."
THEME-068,NGO participation,Governance_construct,NGO participation,7,17,False,,,a8654b0d321a,FULL-09,132.0,"NETWORKS AND THE UNITED NATIONS Such a clearinghouse could also build internal capacity by supporting programs to provide UN staff with training periods in civil society, business, and governments. Sabbaticals and second…",,Step2 salience: excluded at doc_freq<38.
THEME-041,Authority,Governance_construct,Authority,45,727,True,Secretariat authority and influence,Institutional Framework,7f7d8598e554,74debaea,3.0,"Source: UIA Website (http://www.uia.org/, retrieved at 2/25/2015) II. ROLES AND ACTIVITIESOF IGOs IGOs serve several roles in the international system. They can contribute to cooperative endeavors among states, and by do…",SoJ; IIR,Step3 consolidation: mapped 'Authority' into 'Secretariat authority and influence' based on co-occurrence and definitional overlap.
THEME-067,Non-state actor participation,Governance_construct,Non-state actor participation,0,0,False,,,,,,,,No retained excerpt evidence in S4 for this theme under the current retrieval configuration.
THEME-055,Learning,Governance_construct,Learning,41,351,True,"Learning, innovation and capacity building",Adaptive Capacity,5ad1fbfe21a2,FULL-02,3.0,"By 1992, when Stockholm's successor – the UN Conference on Environment and Development (UNCED) – was convened, the bipolar world had just come to an end. Optimism and a thirst for action were palpable at the 'Earth Summi…",STR,"Step3 consolidation: mapped 'Learning' into 'Learning, innovation and capacity building' based on co-occurrence and definitional overlap."
THEME-116,Data and indicators,Governance_construct,Data-driven governance and indicators,2,6,False,,,,,,,,Step1 normalisation: treated as lexical/terminological variant of 'Data-driven governance and indicators'. Step2 salience: excluded at doc_freq<38.
THEME-048,Enforcement,Governance_construct,Enforcement,43,754,True,Compliance and enforcement,Governance Mechanisms,7f7d8598e554,74debaea,3.0,"Source: UIA Website (http://www.uia.org/, retrieved at 2/25/2015) II. ROLES AND ACTIVITIESOF IGOs IGOs serve several roles in the international system. They can contribute to cooperative endeavors among states, and by do…",STR,Step3 consolidation: mapped 'Enforcement' into 'Compliance and enforcement' based on co-occurrence and definitional overlap.
THEME-037,Delegation,Governance_construct,Delegation,37,440,False,,,cb4c0f8a5cf1,FULL-02,2.0,"Introduction The organisational network of global environmental governance (GEG) mirrors the complexity of the planet's manifold and overlapping ecosystems. Bursting onto the international stage in the 1970s, environment…",,Step2 salience: excluded at doc_freq<38.
THEME-071,Expert networks,Governance_construct,Epistemic communities and expert networks,30,120,False,,,,,,,,Step1 normalisation: treated as lexical/terminological variant of 'Epistemic communities and expert networks'. Step2 salience: excluded at doc_freq<38.
THEME-030,Overlapping mandates,Governance_construct,Overlapping mandates,0,0,False,,,,,,,,No retained excerpt evidence in S4 for this theme under the current retrieval configuration.
THEME-081,Oversight,Governance_construct,Accountability mechanisms,44,661,True,Accountability mechanisms,Institutional Framework,7f7d8598e554,74debaea,3.0,"Source: UIA Website (http://www.uia.org/, retrieved at 2/25/2015) II. ROLES AND ACTIVITIESOF IGOs IGOs serve several roles in the international system. They can contribute to cooperative endeavors among states, and by do…",STR,Step1 normalisation: treated as lexical/terminological variant of 'Accountability mechanisms'.
THEME-063,Partnerships,Governance_construct,Partnerships and public–private arrangements,40,348,True,Partnerships and public–private arrangements,Stakeholder Engagement,5ad1fbfe21a2,FULL-02,3.0,"By 1992, when Stockholm's successor – the UN Conference on Environment and Development (UNCED) – was convened, the bipolar world had just come to an end. Optimism and a thirst for action were palpable at the 'Earth Summi…",HC,Step1 normalisation: treated as lexical/terminological variant of 'Partnerships and public–private arrangements'.
THEME-029,Institutional proliferation,Governance_construct,Institutional proliferation,0,0,False,,,,,,,,No retained excerpt evidence in S4 for this theme under the current retrieval configuration.
THEME-066,Private sector engagement,Governance_construct,Non-state actor participation,0,0,False,,,,,,,,Step1 normalisation: treated as lexical/terminological variant of 'Non-state actor participation'. No retained excerpt evidence in S4 for this theme under the current retrieval configuration.
THEME-058,Policy coherence,Governance_construct,Policy integration and coherence,39,626,True,Policy integration and coherence,Governance Mechanisms,0ae3885a708f,FULL-07,12.0,"2000] INSTITUTIONAL ARRANGEMENTS IN ENVIRONMENTAL AGREEMENTS 633 organ with a will of its own, established under international law.""65 The COP and its subsidiary bodies are self-governing since states parties may influen…",STR; IIR; HC,Step1 normalisation: treated as lexical/terminological variant of 'Policy integration and coherence'.
THEME-086,Legitimation,Governance_construct,Legitimacy,39,505,True,Legitimacy,Institutional Framework,891e80c26fcf,FULL-16,9.0,"Chicago Journal of International Law B. DISCOURSE IN THEORY AND PRACTICE In the study of global governance, deliberative models of legitimation areoften based on Habermas's theory of communicative action.' 4 Early in his…",SoJ,Step1 normalisation: treated as lexical/terminological variant of 'Legitimacy'.
THEME-031,Institutional interplay,Governance_construct,Institutional fit and interplay,0,0,False,,,,,,,,Step1 normalisation: treated as lexical/terminological variant of 'Institutional fit and interplay'. No retained excerpt evidence in S4 for this theme under the current retrieval configuration.
THEME-035,Orchestration,Governance_construct,Orchestration,10,93,False,,,8a2aa5b7bcdd,FULL-11,15.0,"14 peoples), governments and IGOs;89 at the other extreme lie the exclusive structures of individual firm schemes. Schemes also vary widely in their incorporation of Southern voices. For sustainability governance as a sy…",,Step2 salience: excluded at doc_freq<38.
THEME-028,Institutional complexity,Governance_construct,Institutional complexity,19,39,False,,,cc5da286759c,FULL-02,4.0,"When the World Summit on Sustainable Development (WSSD) at Johannesburg went underway in the summer of 2002, much of Rio's idealism had been exhausted. Developing countries were buoyed by the rising prominence of the UN'…",,Step2 salience: excluded at doc_freq<38.
THEME-105,Robustness,Governance_construct,Robustness,38,266,True,Robustness and resilience,Adaptive Capacity,5ad1fbfe21a2,FULL-02,3.0,"By 1992, when Stockholm's successor – the UN Conference on Environment and Development (UNCED) – was convened, the bipolar world had just come to an end. Optimism and a thirst for action were palpable at the 'Earth Summi…",STR,Step3 consolidation: mapped 'Robustness' into 'Robustness and resilience' based on co-occurrence and definitional overlap.
THEME-085,Transparency mechanisms,Governance_construct,Transparency,39,328,True,Transparency,Institutional Framework,,,,,STR,Step1 normalisation: treated as lexical/terminological variant of 'Transparency'.
THEME-070,Epistemic communities,Governance_construct,Epistemic communities and expert networks,30,120,False,,,cb4c0f8a5cf1,FULL-02,2.0,"Introduction The organisational network of global environmental governance (GEG) mirrors the complexity of the planet's manifold and overlapping ecosystems. Bursting onto the international stage in the 1970s, environment…",,Step1 normalisation: treated as lexical/terminological variant of 'Epistemic communities and expert networks'. Step2 salience: excluded at doc_freq<38.
THEME-101,Institutional change,Governance_construct,Institutional change and path dependence,47,687,True,Institutional change and path dependence,Adaptive Capacity,7f7d8598e554,74debaea,3.0,"Source: UIA Website (http://www.uia.org/, retrieved at 2/25/2015) II. ROLES AND ACTIVITIESOF IGOs IGOs serve several roles in the international system. They can contribute to cooperative endeavors among states, and by do…",YE,Step1 normalisation: treated as lexical/terminological variant of 'Institutional change and path dependence'.
THEME-098,UN system reform,Governance_construct,UN system reform,0,0,False,,,,,,,,No retained excerpt evidence in S4 for this theme under the current retrieval configuration.
THEME-096,Transparency and access to information,Governance_construct,Transparency,39,328,True,Transparency,Institutional Framework,,,,,STR,Step1 normalisation: treated as lexical/terminological variant of 'Transparency'.
THEME-051,Verification,Governance_construct,"Monitoring, reporting and verification",45,707,True,MRV and evaluation,Governance Mechanisms,5ad1fbfe21a2,FULL-02,3.0,"By 1992, when Stockholm's successor – the UN Conference on Environment and Development (UNCED) – was convened, the bipolar world had just come to an end. Optimism and a thirst for action were palpable at the 'Earth Summi…",STR,"Step1 normalisation: treated as lexical/terminological variant of 'Monitoring, reporting and verification'. Step3 consolidation: mapped 'Monitoring, reporting and verification' into 'MRV and evaluation' based on co-occurrence and definitional overlap."
THEME-060,Inter-agency coordination,Governance_construct,Inter-agency coordination,48,1105,True,Inter-agency coordination,Inter-Institutional Relations,,,,,HC; IIR,
THEME-065,Public–private partnerships,Governance_construct,Partnerships and public–private arrangements,40,348,True,Partnerships and public–private arrangements,Stakeholder Engagement,5ad1fbfe21a2,FULL-02,3.0,"By 1992, when Stockholm's successor – the UN Conference on Environment and Development (UNCED) – was convened, the bipolar world had just come to an end. Optimism and a thirst for action were palpable at the 'Earth Summi…",HC,Step1 normalisation: treated as lexical/terminological variant of 'Partnerships and public–private arrangements'.
THEME-040,Treaty secretariats,Governance_construct,Treaty secretariats,39,245,True,Secretariat authority and influence,Institutional Framework,cb4c0f8a5cf1,FULL-02,2.0,"Introduction The organisational network of global environmental governance (GEG) mirrors the complexity of the planet's manifold and overlapping ecosystems. Bursting onto the international stage in the 1970s, environment…",SoJ; IIR,Step3 consolidation: mapped 'Treaty secretariats' into 'Secretariat authority and influence' based on co-occurrence and definitional overlap.
THEME-091,North–South dynamics,Governance_construct,Power and North–South dynamics,0,0,False,,,,,,,,Step1 normalisation: treated as lexical/terminological variant of 'Power and North–South dynamics'. No retained excerpt evidence in S4 for this theme under the current retrieval configuration.
THEME-043,Soft law,Governance_construct,Soft law,38,264,True,Norms and soft law,Institutional Framework,5ad1fbfe21a2,FULL-02,3.0,"By 1992, when Stockholm's successor – the UN Conference on Environment and Development (UNCED) – was convened, the bipolar world had just come to an end. Optimism and a thirst for action were palpable at the 'Earth Summi…",SoJ,Step3 consolidation: mapped 'Soft law' into 'Norms and soft law' based on co-occurrence and definitional overlap.
THEME-118,SDGs,Governance_construct,Sustainable development and SDGs,48,968,True,Sustainable development and environmental sustainability,Governance Mechanisms,554d4cf63dac,74debaea,1.0,"Abstract In the process of globalization, several international actors have emerged besides states. The intergovernmental cooperation resulting from treaties or agreements in the forms of Intergovernmental Organizations …",DO,Step1 normalisation: treated as lexical/terminological variant of 'Sustainable development and SDGs'. Step3 consolidation: mapped 'Sustainable development and SDGs' into 'Sustainable development and environmental sustainability' based on co-occurrence and definitional overlap.
THEME-084,Accountability mechanisms,Governance_construct,Accountability mechanisms,44,661,True,Accountability mechanisms,Institutional Framework,e0011364f394,FULL-05,1.0,Accountability in International Governance and the 2030 Development Agenda Jose Antonio Ocampo Columbia University and United Nations – Committee for Development Policy Natalie Gomez-Arteaga Columbia University and Unite…,STR,
THEME-033,Polycentric governance,Governance_construct,Polycentric governance,1,2,False,,,68103af1c376,FULL-53,12.0,"Pattberg and Widerberg 695 40. Oran R. Young, Sebastian Oberthür and Thomas Gehring, Institutional Interaction in Global Environmental Governance: Synergy and Conflict among International and EU Policies (Cambridge, MA: …",,Step2 salience: excluded at doc_freq<38.
THEME-036,Intermediaries,Governance_construct,Intermediaries,40,334,True,Intermediaries,Inter-Institutional Relations,5ad1fbfe21a2,FULL-02,3.0,"By 1992, when Stockholm's successor – the UN Conference on Environment and Development (UNCED) – was convened, the bipolar world had just come to an end. Optimism and a thirst for action were palpable at the 'Earth Summi…",IIR,
THEME-082,Board design,Governance_construct,Board design,26,262,False,,,8aed68d3dd5d,FULL-02,12.0,"World Trade Organization (WTO) History As compared to the above institutions, the WTO is different in several regards: first of all, as a ""related organisation"" it is independent and hence far more detached from the UN s…",,Step2 salience: excluded at doc_freq<38.
THEME-077,Voluntary contributions,Governance_construct,Voluntary contributions and trust funds,8,23,False,,,d4d39ff01b97,FULL-18,265.0,"254 palgrave advances in international environmental politics technical aspects of fi nancial and technological assistance, and that is strong enough to overcome the fragmentation of the current multitude of ineffi cient…",,Step1 normalisation: treated as lexical/terminological variant of 'Voluntary contributions and trust funds'. Step2 salience: excluded at doc_freq<38.
THEME-087,Legitimacy crisis,Governance_construct,Legitimacy,39,505,True,Legitimacy,Institutional Framework,,,,,SoJ,Step1 normalisation: treated as lexical/terminological variant of 'Legitimacy'.
THEME-057,Mainstreaming,Governance_construct,Policy integration and coherence,39,626,True,Policy integration and coherence,Governance Mechanisms,cb4c0f8a5cf1,FULL-02,2.0,"Introduction The organisational network of global environmental governance (GEG) mirrors the complexity of the planet's manifold and overlapping ecosystems. Bursting onto the international stage in the 1970s, environment…",STR; IIR; HC,Step1 normalisation: treated as lexical/terminological variant of 'Policy integration and coherence'.
THEME-042,Legalisation,Governance_construct,Legalisation,0,0,False,,,,,,,,No retained excerpt evidence in S4 for this theme under the current retrieval configuration.
THEME-027,Regime complex,Governance_construct,Regime complex and fragmentation,45,578,True,Regime complex and fragmentation,Inter-Institutional Relations,aa096dd20e86,FULL-11,18.0,1 The public-private distinction is troublesome. It describes neither where governance authority is nor where it should be located. Private and public authority are deeply entangled (Porter 2009) – and this article sugge…,SJ; SMJ; IIR; HC,Step1 normalisation: treated as lexical/terminological variant of 'Regime complex and fragmentation'.
THEME-034,Network governance,Governance_construct,Network governance,2,7,False,,,cae29c7f9b23,FULL-09,158.0,"BIBLIOGRAPHY Jones, G.; Hesterly, W.S.; Borgatti, S.P. 1999. A general theory of network governance: exchange conditions and social mechanisms. Academy of Management Review, 22Lawson, C.; Lorenz, E. 1999Collective learni…",,Step2 salience: excluded at doc_freq<38.
THEME-094,Stakeholder engagement,Governance_construct,Participation and stakeholder engagement,45,926,True,"Participation, engagement and representation",Stakeholder Engagement,,,,,VC,"Step1 normalisation: treated as lexical/terminological variant of 'Participation and stakeholder engagement'. Step3 consolidation: mapped 'Participation and stakeholder engagement' into 'Participation, engagement and representation' based on co-occurrence and definitional overlap."
THEME-102,Path dependency,Governance_construct,Institutional change and path dependence,47,687,True,Institutional change and path dependence,Adaptive Capacity,,,,,YE,Step1 normalisation: treated as lexical/terminological variant of 'Institutional change and path dependence'.
THEME-079,Trust funds,Governance_construct,Voluntary contributions and trust funds,8,23,False,,,7537ac946fcc,FULL-09,148.0,"WORKSHOP PARTICIPANTS FARRAR, CURTIS International Food Policy Research Institute FERRONI, MARCO The World Bank, Resource Mobilization and Gofinancing GEER, SHIRLEY The World Bank, Consultative Group on International Agr…",,Step1 normalisation: treated as lexical/terminological variant of 'Voluntary contributions and trust funds'. Step2 salience: excluded at doc_freq<38.
THEME-044,Hard law,Governance_construct,Hard law,2,2,False,,,3b3af5fdf0f3,FULL-27,36.0,"The Challenges of Global Governance 31 and global climate change, but no concrete actions. As scientific understanding of the problem improves, the political environment changes, and technology provides new possible solu…",,Step2 salience: excluded at doc_freq<38.
THEME-053,Performance measurement,Governance_construct,Performance measurement,0,0,False,,,,,,,,No retained excerpt evidence in S4 for this theme under the current retrieval configuration.
