parent_theme_id,parent_theme_label,candidate_term,candidate_score,candidate_source,candidate_term_norm,pilot_docfreq,stem_score,name_noise_flag,artifact_flag,evidence_exists,vetting_status,vetting_note_draft,evidence_filename,evidence_page_in_pdf,evidence_section_guess,evidence_excerpt_snippet
TH017,Inclusiveness,capacity builders,6.786879950506164,pilot_logodds_distinctive_ngram,capacity builders,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for inclusiveness; retained after checking for contextual equivalence and excluding systematic noise.,Critical Choices_The United Nations_Networks and the Future of Global Governance.pdf,21,Results,"s by coordinating program activities or developing strategies for interacting with appropriate levels of governance; UN agencies can act as **capacity-builders** to ensure inclusiveness, both from a local—globa ... l and a North—South perspective; and Despite increasing difficulty, in some rare cases the United Nations can act as financier for operational programs. The United Nations needs to develop mechanisms for the pr"
TH027,Intergovernmental Treaty Secretariats,regime dynamics,6.6694592614356845,pilot_logodds_distinctive_ngram,regime dynamics,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for intergovernmental treaty secretariats; retained after checking for contextual equivalence and excluding systematic noise.,Does bureaucracy really matter&#x3f; The authority of intergovernmental treaty secretariats in global environmental politics.pdf,9,Unspecified,"body the institutional memory of the regime. Speciªcally, they possess expert knowledge of various categories, all of which are relevant to **regime dynamics**. They bear technical and scientiªc knowledge on t ... he policy problem, administrative and procedural knowledge—which to a signiªcant degree they will generate themselves—as well as normative and diplomatic knowledge which is relevant to deal with the complex web"
TH027,Intergovernmental Treaty Secretariats,bear bureaucratic authority,6.6694592614356845,pilot_logodds_distinctive_ngram,bear bureaucratic authority,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for intergovernmental treaty secretariats; retained after checking for contextual equivalence and excluding systematic noise.,Does bureaucracy really matter&#x3f; The authority of intergovernmental treaty secretariats in global environmental politics.pdf,2,Discussion,"s within the wider regimes they are part of and whether the authority of both organizations differs.2 I will show that both secretariats do **bear bureaucratic authority**, but also that there are differences t ... o the authority (and the use thereof) with respect to either secretariat. The condensed characterization of only two secretariats will of course not allow for tangible generalizations regarding the bureaucratic"
TH027,Intergovernmental Treaty Secretariats,bureaucratic authority,6.632629201180623,pilot_logodds_distinctive_ngram,bureaucratic authority,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for intergovernmental treaty secretariats; retained after checking for contextual equivalence and excluding systematic noise.,Does bureaucracy really matter&#x3f; The authority of intergovernmental treaty secretariats in global environmental politics.pdf,2,Discussion,"t”) and the secretariat to the United Nations Convention to Combat Desertiªcation (the “Desertiªcation Secretariat”) I will investigate the **bureaucratic authority** of these secretariats within the wider regi ... mes they are part of and whether the authority of both organizations differs.2 I will show that both secretariats do bear bureaucratic authority, but also that there are differences to the authority (and the us"
TH042,Treaty Secretariats,sociological institutionalism,6.583532640908315,pilot_logodds_distinctive_ngram,sociological institutionalism,2,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for treaty secretariats; retained after checking for contextual equivalence and excluding systematic noise.,Assessing the effectiveness of intergovernmental organisations in international environmental politics.pdf,2,Unspecified,"ernational environmental governance. International organisations have been addressed in some detail only in a recent strand of IR research, **sociological institutionalism**, which has emerged—largely drawing o ... n the ‘old’ institutionalism of sociology and by the constructivist critique of mainstream IR theories—as a distinct neoinstitutionalist approach. Barnett Michael, and Martha Finnemore, (1999), for example, pro"
TH063,Horizontal Coordination Cooperation,vertical coherence,6.511259946829531,pilot_logodds_distinctive_ngram,vertical coherence,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for horizontal coordination cooperation; retained after checking for contextual equivalence and excluding systematic noise., Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,32,Unspecified,"capacity-building; integrated management and ecosystem approach; legal and regulatory frameworks; horizontal coordination and cooperation; **vertical coherence**; and good governance. Broad outcomes What actua ... lly happened at the summit? Over 20,000 people attended the global meeting, including 10,000 government delegates, 8000 representatives from the major groups1, 2000 from the business sector and 4000 people from"
TH055,International Horizontal Accountability,partner countries,6.4824911462243024,pilot_logodds_distinctive_ngram,partner countries,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for international horizontal accountability; retained after checking for contextual equivalence and excluding systematic noise.,Accountability in International Governance and the 2030 Development Agenda.pdf,4,Discussion,"plex process. The 2009 Development Cooperation Forum (DCF)’s Global Accountability Survey on the application of MA revealed that only eight **partner countries** had made major progress in building up national ... MA frameworks and virtually none had targets for individual providers, though there was also some progress in 22 other countries (UN– DESA, 2010). Furthermore most policies focused on recipient performance and"
TH055,International Horizontal Accountability,public sector ofﬁcials,6.4824911462243024,pilot_logodds_distinctive_ngram,public sector ofﬁcials,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for international horizontal accountability; retained after checking for contextual equivalence and excluding systematic noise.,Accountability in International Governance and the 2030 Development Agenda.pdf,1,Unspecified,"has been essentially developed in the context of national governance, to refer to the oversight over the fulﬁllment of responsibilities of **public sector ofﬁcials** and the checks and balances on the exercise ... of political power. In the context of national governance, accountability has been deﬁned by Schedler (1999, p. 14) as a means of ‘subjecting power to the threat of sanctions, obliging it to be exercised in tr"
TH061,Orchestration Regulatory Cooperation,public space,6.425225332382685,pilot_logodds_distinctive_ngram,public space,3,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for orchestration regulatory cooperation; retained after checking for contextual equivalence and excluding systematic noise., Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,75,Unspecified,ce structure that respects the diversity of views across the world will benefit the South. Public policy and issue networks create ‘virtual **public space**’ that is easier to enter than existing physical forum ... s. A set of modern outreach and participation mechanisms could also decrease the distance between decentralized constituencies and global decision-makers – making it easier to insert into the policy process the
TH046,Multistakeholder,active social accountability,6.422993003674342,pilot_logodds_distinctive_ngram,active social accountability,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for multistakeholder; retained after checking for contextual equivalence and excluding systematic noise.,Accountability in International Governance and the 2030 Development Agenda.pdf,5,Unspecified,"es. As drivers of social accountability, civil society organizations should also be very active. To all these mechanisms, we should add the **active social accountability** exercised by multiple civil society o ... rganizations at the international level, which is in fact the only modality that is strictly similar to national accountability. Social accountability remains mainly a ‘spotlight’ that seeks to provide independ"
TH046,Multistakeholder,social accountability exercised,6.422993003674342,pilot_logodds_distinctive_ngram,social accountability exercised,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for multistakeholder; retained after checking for contextual equivalence and excluding systematic noise.,Accountability in International Governance and the 2030 Development Agenda.pdf,5,Unspecified,"drivers of social accountability, civil society organizations should also be very active. To all these mechanisms, we should add the active **social accountability exercised** by multiple civil society organiza ... tions at the international level, which is in fact the only modality that is strictly similar to national accountability. Social accountability remains mainly a ‘spotlight’ that seeks to provide independent inf"
TH061,Orchestration Regulatory Cooperation,light coordination,6.421289545527372,pilot_logodds_distinctive_ngram,light coordination,2,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for orchestration regulatory cooperation; retained after checking for contextual equivalence and excluding systematic noise.,Engaging the Public and the Private in Global Sustainability Governance.pdf,15,Unspecified,"sustainability governance. States are unlikely to grant IGOs or other inter-state bodies strong hierarchical authority; what is needed are “**light coordination** mechanisms.”91 Two modes of public-private enga ... gement are especially promising for IGOs:92 • “Regulatory cooperation,” in which IGOs engage directly with firms, industry groups and other private actors (and perhaps with sub-state agencies) to influence thei"
TH061,Orchestration Regulatory Cooperation,focus public,6.421289545527372,pilot_logodds_distinctive_ngram,focus public,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for orchestration regulatory cooperation; retained after checking for contextual equivalence and excluding systematic noise.,Engaging the Public and the Private in Global Sustainability Governance.pdf,13,Results,"system, the difficult of sustaining such pressure seriously constrains the potential of PSG. Public engagement, however, could enhance and **focus public** and consumer pressure, in addition to casting a stron ... ger direct shadow. Managing Fragmentation The proliferation of PSG schemes has produced a complex and fragmented “governance complex” with public, private and hybrid elements. Each PSG scheme, in addition to it"
TH061,Orchestration Regulatory Cooperation,significant governance,6.421289545527372,pilot_logodds_distinctive_ngram,significant governance,2,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for orchestration regulatory cooperation; retained after checking for contextual equivalence and excluding systematic noise.,Befogged vision- International environmental governance a decade after Rio.pdf,40,Unspecified,"nge of economic development institutions. 76 In social sectors, the International Labour Organization and World Health Organization provide **significant governance**. '77 There is, however, no comparable gover ... nance framework for the environmental sector; the many conferences of the parties for the environmental secretariats are independent of one another. Moreover, governance among the three sectors is not integrate"
TH061,Orchestration Regulatory Cooperation,authoritative decisions,6.421289545527372,pilot_logodds_distinctive_ngram,authoritative decisions,2,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for orchestration regulatory cooperation; retained after checking for contextual equivalence and excluding systematic noise.,Engaging the Public and the Private in Global Sustainability Governance.pdf,15,Unspecified,Dryzek & Stevenson argue that deliberative democracy requires (a) a public space where diverse views interact; (b) an empowered space where **authoritative decisions** are made; (c) channels through which disc ... ourse in the public space can influence the empowered space; (d) a realistic opportunity for deliberation to affect outcomes; and (e) mechanisms for transparency and accountability of the empowered space to the
TH061,Orchestration Regulatory Cooperation,governance strengthening,6.421289545527372,pilot_logodds_distinctive_ngram,governance strengthening,2,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for orchestration regulatory cooperation; retained after checking for contextual equivalence and excluding systematic noise.,Engaging the Public and the Private in Global Sustainability Governance.pdf,15,Unspecified,able schemes and steer the system of sustainability governance towards greater deliberation and democracy. 6. Towards Global Sustainability **Governance Strengthening** engagement between the inter-state instit ... utions that dominate official deliberations and the expanding universe of PSG would significantly enhance sustainability governance. States are unlikely to grant IGOs or other inter-state bodies strong hierarch
TH078,Global Partnership Development,accountability framework,6.375899235513807,pilot_logodds_distinctive_ngram,accountability framework,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for global partnership development; retained after checking for contextual equivalence and excluding systematic noise.,Accountability in International Governance and the 2030 Development Agenda.pdf,1,Unspecified,"overnance, including an assessment of some of the modalities it has assumed. It then proposes a bottom-up multilayered and multistakeholder **accountability framework** for the 2030 Development Agenda: national ... follow-up processes at the base of the pyramid, consultations and possibly peer reviews at the regional level, a global accountability system led by the High-Level Political Forum (HLPF) and supported by the E"
TH045,Learning Network,keeps participants,6.375341034942075,pilot_logodds_distinctive_ngram,keeps participants,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for learning network; retained after checking for contextual equivalence and excluding systematic noise.,Critical Choices_The United Nations_Networks and the Future of Global Governance.pdf,88,Unspecified,"arise from a committed search for solutions to real problems, and it is up to the network manager to do this in a constructive manner that **keeps participants** engaged. Although the list is by no means exhau ... stive, crucial management issues include the following: Getting the network off the ground through leadership and the creation of a common vision; Balancing adequate consultation and goal delivery; Securing sus"
TH045,Learning Network,weak institutional design,6.375341034942075,pilot_logodds_distinctive_ngram,weak institutional design,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for learning network; retained after checking for contextual equivalence and excluding systematic noise.,From norms to programs_The United Nations Global Compact and global governance_ Berliner2012.pdf,3,Conclusion,"ention from human rights or labor abuses, poor environmental performance, or corrupt activities. These governors believe that programs with **weak institutional design** will not ultimately change participants’ ... policies, and may even eventually discredit the CR norm. NGOs’ opposition to the Compact does not imply that they oppose the CR norm, or even that they oppose voluntary programs per se as an instrument to tran"
TH045,Learning Network,participants engaged,6.375341034942075,pilot_logodds_distinctive_ngram,participants engaged,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for learning network; retained after checking for contextual equivalence and excluding systematic noise.,Critical Choices_The United Nations_Networks and the Future of Global Governance.pdf,17,Discussion,"that inevitably arise from a committed search among disparate parties for solutions to real problems, and doing so in a way that keeps the **participants engaged**. Some of the functions that might appear in a ... network manager's job description are listed below: Getting the network off the ground — The first task, of course, is getting the network up and running. Often it is the vision, dynamism, and resolve of one o"
TH045,Learning Network,keeps participants engaged,6.375341034942075,pilot_logodds_distinctive_ngram,keeps participants engaged,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for learning network; retained after checking for contextual equivalence and excluding systematic noise.,Critical Choices_The United Nations_Networks and the Future of Global Governance.pdf,88,Unspecified,"arise from a committed search for solutions to real problems, and it is up to the network manager to do this in a constructive manner that **keeps participants engaged**. Although the list is by no means exhau ... stive, crucial management issues include the following: Getting the network off the ground through leadership and the creation of a common vision; Balancing adequate consultation and goal delivery; Securing sus"
TH031,Coordination Capacity Building,build institutional,6.33176982476067,pilot_logodds_distinctive_ngram,build institutional,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for coordination capacity building; retained after checking for contextual equivalence and excluding systematic noise., Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,151,Unspecified,"he transfer of environmentally sound and advanced technologies, are also required. Linked to these national programmes, governments need to **build institutional** capacity at all levels in order to undertake and develop resource assessments; market assessments; pre-feasibility and feasibility studies; environmental impact assessments and technology guidelines; public awareness"
TH051,Institutionalism Organizational Analysis,governance working paper,6.32970597097867,pilot_logodds_distinctive_ngram,governance working paper,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for institutionalism organizational analysis; retained after checking for contextual equivalence and excluding systematic noise.,Does bureaucracy really matter&#x3f; The authority of intergovernmental treaty secretariats in global environmental politics.pdf,24,Introduction,"t, UK: Ashgate. _______. 2005b. Managers of Global Governance. Assessing and Explaining the Inºuence of International Bureaucracies, Global **Governance Working Paper** No. 15. Amsterdam, Berlin, Oldenburg, Pot ... sdam: The Global Governance Project. Available at www. glogov.org/front_content.php?idcat68. Bruyninckx, Hans. 2004. The Convention to Combat Desertiªcation and the Role of Innovative Policy-Making Discourses:"
TH051,Institutionalism Organizational Analysis,institutional characteristics,6.32970597097867,pilot_logodds_distinctive_ngram,institutional characteristics,2,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for institutionalism organizational analysis; retained after checking for contextual equivalence and excluding systematic noise.,Does bureaucracy really matter&#x3f; The authority of intergovernmental treaty secretariats in global environmental politics.pdf,5,Results,"rames of meaning’ guiding human interaction”—namely symbol systems, cognitive scripts, and moral templates— within an expanded framework of **institutional characteristics** that is traditionally conªned to nor ... ms, rules and procedures.10 Moreover, the emergence of a distinct sociological institutionalist approach greatly beneªted from the cognitivist branch of regime analysis, which enriched the discipline by conside"
TH051,Institutionalism Organizational Analysis,global governance working,6.32970597097867,pilot_logodds_distinctive_ngram,global governance working,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for institutionalism organizational analysis; retained after checking for contextual equivalence and excluding systematic noise.,Does bureaucracy really matter&#x3f; The authority of intergovernmental treaty secretariats in global environmental politics.pdf,24,Introduction,"ldershot, UK: Ashgate. _______. 2005b. Managers of Global Governance. Assessing and Explaining the Inºuence of International Bureaucracies, **Global Governance Working** Paper No. 15. Amsterdam, Berlin, Oldenbu ... rg, Potsdam: The Global Governance Project. Available at www. glogov.org/front_content.php?idcat68. Bruyninckx, Hans. 2004. The Convention to Combat Desertiªcation and the Role of Innovative Policy-Making Disc"
TH053,Accountability International Governance,public debates,6.310673602927584,pilot_logodds_distinctive_ngram,public debates,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for accountability international governance; retained after checking for contextual equivalence and excluding systematic noise.,Accountability in International Governance and the 2030 Development Agenda.pdf,2,Unspecified,"inform, explain and justify their decisions and actions. This dimension assumes a relation between accountable and accounting actors in the **public debates** in which they engage. This is thus closely tied to ... transparency and may involve formal mechanisms of monitoring and oversight. The third dimension, enforceability, is the capacity of accounting agencies to impose sanctions on public sector ofﬁcials who violate"
TH035,Stakeholder Participation,governance approaches,6.216663318773665,pilot_logodds_distinctive_ngram,governance approaches,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for stakeholder participation; retained after checking for contextual equivalence and excluding systematic noise.,Engaging the Public and the Private in Global Sustainability Governance.pdf,8,Unspecified,"apprehension that they alone make climate policy,” ignoring other forms of governance.49 Yet scholars have simultaneously begun to call for **governance approaches** that would widen the public-private gap, or ... at least render it more difficult to bridge. In particular, many scholars now recommend the deployment of multiple, distinct agreements and institutions, public and private, to deal with complex issues such as"
TH072,Integration Environmental Policy,streamlining institutions,6.207335989705532,pilot_logodds_distinctive_ngram,streamlining institutions,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for integration environmental policy; retained after checking for contextual equivalence and excluding systematic noise.,Environmental policy integration and the architecture of global environmental governance.pdf,12,Unspecified,"ody would also be able to better inﬂuence non-environmental policy processes, thus fostering external environmental policy integration. 4.3 **Streamlining institutions**, organizations, and bureaucracies A thir ... d group of proposals seeks to go further and advocates a more centralized or streamlined architecture. These authors make their case by challenging the substantive functional overlap between the multitude of in"
TH019,Collaboration,mainstreaming adaptation,6.20706555764281,pilot_logodds_distinctive_ngram,mainstreaming adaptation,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for collaboration; retained after checking for contextual equivalence and excluding systematic noise.,Global adaptation governance_how intergovernmental organizations mainstream climate change adaptation.pdf,2,Introduction,"POLICY INSIGHTS . IGOs have mainstreamed adaptation into a large array of issue areas, yet scholarly and practical debates remain siloed. . **Mainstreaming adaptation** has advanced most in IGOs in the areas of ... food and development and least in the domain of migration and security. . Discursive mainstreaming is more common than other types of adaptation mainstreaming in IGOs, regardless of the issue area. . Global go"
TH074,Unccd Desertiªcation Secretariat,governance working,6.168406536134006,pilot_logodds_distinctive_ngram,governance working,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for unccd desertiªcation secretariat; retained after checking for contextual equivalence and excluding systematic noise.,Does bureaucracy really matter&#x3f; The authority of intergovernmental treaty secretariats in global environmental politics.pdf,24,Introduction,"t, UK: Ashgate. _______. 2005b. Managers of Global Governance. Assessing and Explaining the Inºuence of International Bureaucracies, Global **Governance Working** Paper No. 15. Amsterdam, Berlin, Oldenburg, Pot ... sdam: The Global Governance Project. Available at www. glogov.org/front_content.php?idcat68. Bruyninckx, Hans. 2004. The Convention to Combat Desertiªcation and the Role of Innovative Policy-Making Discourses:"
TH056,Autonomous Institutional Arrangements,normative content,6.092093519569919,pilot_logodds_distinctive_ngram,normative content,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for autonomous institutional arrangements; retained after checking for contextual equivalence and excluding systematic noise.,Autonomous Institutional Arrangements in Multilateral Environmental Agreements_ A Little-Noticed Phenomenon in International Law.pdf,2,Unspecified,"the environmental field that establish a common pattern of institutional arrangements. The purpose of these arrangements is to develop the **normative content** of the regulatory regime established by each agr ... eement' and to supervise the states parties' implementation of and compliance with that regime. These institutional arrangements usually comprise a conference or meeting of the parties (COP, MOP) with decision-"
