theme_id,theme_label,theme_origin,definition_note_draft,validated_term_count,validated_terms,pilot_para_hits_keyword,pilot_para_hits_semantic,pilot_doc_coverage,pilot_doc_coverage_semantic
TH020,Compliance,seed,"Working definition (reviewer): passages where authors discuss compliance as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,,123,46,15,5
TH021,Conflict Resolution,seed,"Working definition (reviewer): passages where authors discuss conflict resolution as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",3,corn laws; franchising global governance; regime complex,6,10,3,4
TH022,Monitoring and Evaluation,seed,"Working definition (reviewer): passages where authors discuss monitoring and evaluation as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,,6,19,4,6
TH023,Ethical Governance,seed,"Working definition (reviewer): passages where authors discuss ethical governance as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",1,increase transparency,0,15,0,3
TH024,Intergenerational Equity,seed,"Working definition (reviewer): passages where authors discuss intergenerational equity as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",4,global publicpolicy; make informed; make informed decisions; public goods provided,4,4,2,2
TH025,Public Trust,seed,"Working definition (reviewer): passages where authors discuss public trust as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",2,gpp networks respond; private institutions,0,40,0,4
TH026,Data Driven Governance,seed,"Working definition (reviewer): passages where authors discuss data driven governance as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,,0,27,0,6
TH027,Intergovernmental Treaty Secretariats,pilot_discovered,"Working definition (reviewer): passages where authors discuss intergovernmental treaty secretariats as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",5,bear bureaucratic authority; bureaucratic authority; public nonstate; public nonstate actors; regime dynamics,8,34,1,10
TH028,Institutional Strengthening Capacity,pilot_discovered,"Working definition (reviewer): passages where authors discuss institutional strengthening capacity as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",3,governance recommendations; horizontal coordination; implement sustainable development,0,14,0,3
TH029,Environmental Treaty Secretariats,pilot_discovered,"Working definition (reviewer): passages where authors discuss environmental treaty secretariats as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,,7,42,2,9
TH030,International Institutional Law,pilot_discovered,"Working definition (reviewer): passages where authors discuss international institutional law as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,,9,34,1,6
TH031,Coordination Capacity Building,pilot_discovered,"Working definition (reviewer): passages where authors discuss coordination capacity building as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",3,build institutional; effective institutional; public awareness,0,33,0,4
TH032,Organisations Learning Agents,pilot_discovered,"Working definition (reviewer): passages where authors discuss organisations learning agents as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,,0,43,0,7
TH033,Institutional Fragmentation,pilot_discovered,"Working definition (reviewer): passages where authors discuss institutional fragmentation as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,,5,6,3,3
TH034,Power Coordination Capacity,pilot_discovered,"Working definition (reviewer): passages where authors discuss power coordination capacity as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",3,networks manage; networks manage relationships; typical network,0,8,0,4
TH035,Stakeholder Participation,pilot_discovered,"Working definition (reviewer): passages where authors discuss stakeholder participation as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",2,governance approaches; trade institutions,11,19,3,3
TH036,Treaty Secretariats Stage,pilot_discovered,"Working definition (reviewer): passages where authors discuss treaty secretariats stage as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",1,respective regime,0,30,0,8
TH037,Learning Agents Emerging,pilot_discovered,"Working definition (reviewer): passages where authors discuss learning agents emerging as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",1,legitimized,0,28,0,5
TH038,Norms Rules Strategies,pilot_discovered,"Working definition (reviewer): passages where authors discuss norms rules strategies as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,,0,14,0,4
TH039,Principles Norms Rules,pilot_discovered,"Working definition (reviewer): passages where authors discuss principles norms rules as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",4,formal governance; governance widely; informal institutions; law developed,0,18,0,6
TH040,Coordination Capacity,pilot_discovered,"Working definition (reviewer): passages where authors discuss coordination capacity as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",2,research networks; rule making power,0,12,0,4
TH041,Monitoring Evaluation,pilot_discovered,"Working definition (reviewer): passages where authors discuss monitoring evaluation as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,,0,19,0,6
TH042,Treaty Secretariats,pilot_discovered,"Working definition (reviewer): passages where authors discuss treaty secretariats as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",2,institutionalist research; sociological institutionalism,20,34,5,7
TH043,Institutional Law,pilot_discovered,"Working definition (reviewer): passages where authors discuss institutional law as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,,10,33,2,6
TH044,Multi Stakeholder,pilot_discovered,"Working definition (reviewer): passages where authors discuss multi stakeholder as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,,26,28,3,3
TH045,Learning Network,pilot_discovered,"Working definition (reviewer): passages where authors discuss learning network as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",7,global normative; keeps participants; keeps participants engaged; participants engaged; weak institutional; weak institutional design; world society networks,4,46,2,3
TH046,Multistakeholder,pilot_discovered,"Working definition (reviewer): passages where authors discuss multistakeholder as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",9,accountability exercised; accountability exercises; accountability frameworks; active social accountability; global partnership; international accountability; partnership development; social accountability; social accountability exercised,6,3,3,3
TH047,Learning Agents,pilot_discovered,"Working definition (reviewer): passages where authors discuss learning agents as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,,1,38,1,5
TH048,Legal Authority,pilot_discovered,"Working definition (reviewer): passages where authors discuss legal authority as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",2,institutional memory; involve stakeholders,6,20,5,5
TH049,Norms Rules,pilot_discovered,"Working definition (reviewer): passages where authors discuss norms rules as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",3,marine governance issues; shared norm; widely shared norm,0,25,0,7
TH050,Institutional Arrangements Environmental,pilot_discovered,"Working definition (reviewer): passages where authors discuss institutional arrangements environmental as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",1,regime established,0,62,0,7
TH051,Institutionalism Organizational Analysis,pilot_discovered,"Working definition (reviewer): passages where authors discuss institutionalism organizational analysis as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",3,global governance working; governance working paper; institutional characteristics,0,4,0,2
TH052,Secretariats International Environmental,pilot_discovered,"Working definition (reviewer): passages where authors discuss secretariats international environmental as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",2,governance came; status quo governance,0,105,0,11
TH053,Accountability International Governance,pilot_discovered,"Working definition (reviewer): passages where authors discuss accountability international governance as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",1,public debates,0,34,0,8
TH054,Institutionalization Private Governance,pilot_discovered,"Working definition (reviewer): passages where authors discuss institutionalization private governance as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",2,climate regime; transnational public,0,14,0,6
TH055,International Horizontal Accountability,pilot_discovered,"Working definition (reviewer): passages where authors discuss international horizontal accountability as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",2,partner countries; public sector ofﬁcials,3,11,1,3
TH056,Autonomous Institutional Arrangements,pilot_discovered,"Working definition (reviewer): passages where authors discuss autonomous institutional arrangements as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",1,normative content,12,23,2,7
TH057,Multilateral Environmental Agreements,pilot_discovered,"Working definition (reviewer): passages where authors discuss multilateral environmental agreements as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,,45,108,9,11
TH058,Multilateral Environmental Governance,pilot_discovered,"Working definition (reviewer): passages where authors discuss multilateral environmental governance as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,,27,226,2,12
TH059,Institutional Perspectives Political,pilot_discovered,"Working definition (reviewer): passages where authors discuss institutional perspectives political as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",4,central governance; coherent governance; governance entails; incoherent,0,28,0,6
TH060,International Organisations Learning,pilot_discovered,"Working definition (reviewer): passages where authors discuss international organisations learning as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,,0,52,0,7
TH061,Orchestration Regulatory Cooperation,pilot_discovered,"Working definition (reviewer): passages where authors discuss orchestration regulatory cooperation as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",6,authoritative decisions; focus public; governance strengthening; light coordination; public space; significant governance,0,3,0,1
TH062,Partnerships Sustainable Development,pilot_discovered,"Working definition (reviewer): passages where authors discuss partnerships sustainable development as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",2,partnership initiatives; strengthening institutional,0,99,0,8
TH063,Horizontal Coordination Cooperation,pilot_discovered,"Working definition (reviewer): passages where authors discuss horizontal coordination cooperation as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",1,vertical coherence,0,11,0,4
TH064,Institutional Framework Sustainable,pilot_discovered,"Working definition (reviewer): passages where authors discuss institutional framework sustainable as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,,0,24,0,6
TH065,International Environmental Regimes,pilot_discovered,"Working definition (reviewer): passages where authors discuss international environmental regimes as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",1,coherent plans,26,196,4,11
TH066,Multilateral Environmental Treaties,pilot_discovered,"Working definition (reviewer): passages where authors discuss multilateral environmental treaties as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",3,domestic authority; mandatory frequency; monitoring provisions,9,78,2,8
TH067,New Institutionalism Organizational,pilot_discovered,"Working definition (reviewer): passages where authors discuss new institutionalism organizational as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",2,institutionalist approach; rediscovering institutions,0,6,0,2
TH068,Accountability International Level,pilot_discovered,"Working definition (reviewer): passages where authors discuss accountability international level as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",1,making governments accountable,0,13,0,2
TH069,International Environmental Treaty,pilot_discovered,"Working definition (reviewer): passages where authors discuss international environmental treaty as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",1,actors intergovernmental,3,125,2,11
TH070,International Policy Coordination,pilot_discovered,"Working definition (reviewer): passages where authors discuss international policy coordination as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,,27,52,1,6
TH071,Environmental Policy Integration,pilot_discovered,"Working definition (reviewer): passages where authors discuss environmental policy integration as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",1,better integrating,20,66,2,11
TH072,Integration Environmental Policy,pilot_discovered,"Working definition (reviewer): passages where authors discuss integration environmental policy as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",1,streamlining institutions,0,61,0,10
TH073,Society Participation Engagement,pilot_discovered,"Working definition (reviewer): passages where authors discuss society participation engagement as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",4,better integrate; government bureaucracy; implementation meetings; manage external partners,0,23,0,4
TH074,Unccd Desertiªcation Secretariat,pilot_discovered,"Working definition (reviewer): passages where authors discuss unccd desertiªcation secretariat as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",1,governance working,0,23,0,4
TH075,Institutionalism Organizational,pilot_discovered,"Working definition (reviewer): passages where authors discuss institutionalism organizational as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",1,institutionalist approaches,0,5,0,2
TH076,International Environmental Law,pilot_discovered,"Working definition (reviewer): passages where authors discuss international environmental law as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,,45,220,9,15
TH077,Strengthening Capacity Building,pilot_discovered,"Working definition (reviewer): passages where authors discuss strengthening capacity building as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",1,policy networks organized,0,31,0,4
TH078,Global Partnership Development,pilot_discovered,"Working definition (reviewer): passages where authors discuss global partnership development as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",1,accountability framework,0,21,0,5
TH079,Rules Governance International,pilot_discovered,"Working definition (reviewer): passages where authors discuss rules governance international as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",1,public organizations,0,17,0,7
TH080,Transnational Rules Governance,pilot_discovered,"Working definition (reviewer): passages where authors discuss transnational rules governance as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",1,harvard law,0,5,0,5
