theme_id,theme_label,theme_origin,pilot_para_hits,pilot_doc_coverage,definition_note_draft,pilot_para_hits_keyword,pilot_para_hits_semantic,pilot_doc_coverage_semantic
TH019,Collaboration,seed,56,11,"Working definition (reviewer): passages where authors discuss collaboration as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",56,12,4
TH020,Compliance,seed,123,15,"Working definition (reviewer): passages where authors discuss compliance as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",123,46,5
TH021,Conflict Resolution,seed,6,3,"Working definition (reviewer): passages where authors discuss conflict resolution as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",6,10,4
TH022,Monitoring and Evaluation,seed,6,4,"Working definition (reviewer): passages where authors discuss monitoring and evaluation as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",6,19,6
TH023,Ethical Governance,seed,0,0,"Working definition (reviewer): passages where authors discuss ethical governance as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,15,3
TH024,Intergenerational Equity,seed,4,2,"Working definition (reviewer): passages where authors discuss intergenerational equity as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",4,4,2
TH025,Public Trust,seed,0,0,"Working definition (reviewer): passages where authors discuss public trust as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,40,4
TH026,Data Driven Governance,seed,0,0,"Working definition (reviewer): passages where authors discuss data driven governance as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,27,6
TH027,Intergovernmental Treaty Secretariats,pilot_discovered,8,1,"Working definition (reviewer): passages where authors discuss intergovernmental treaty secretariats as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",8,34,10
TH028,Institutional Strengthening Capacity,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss institutional strengthening capacity as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,14,3
TH029,Environmental Treaty Secretariats,pilot_discovered,7,2,"Working definition (reviewer): passages where authors discuss environmental treaty secretariats as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",7,42,9
TH030,International Institutional Law,pilot_discovered,9,1,"Working definition (reviewer): passages where authors discuss international institutional law as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",9,34,6
TH031,Coordination Capacity Building,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss coordination capacity building as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,33,4
TH032,Organisations Learning Agents,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss organisations learning agents as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,43,7
TH033,Institutional Fragmentation,pilot_discovered,5,3,"Working definition (reviewer): passages where authors discuss institutional fragmentation as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",5,6,3
TH034,Power Coordination Capacity,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss power coordination capacity as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,8,4
TH035,Stakeholder Participation,pilot_discovered,11,3,"Working definition (reviewer): passages where authors discuss stakeholder participation as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",11,19,3
TH036,Treaty Secretariats Stage,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss treaty secretariats stage as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,30,8
TH037,Learning Agents Emerging,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss learning agents emerging as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,28,5
TH038,Norms Rules Strategies,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss norms rules strategies as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,14,4
TH039,Principles Norms Rules,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss principles norms rules as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,18,6
TH040,Coordination Capacity,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss coordination capacity as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,12,4
TH041,Monitoring Evaluation,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss monitoring evaluation as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,19,6
TH042,Treaty Secretariats,pilot_discovered,20,5,"Working definition (reviewer): passages where authors discuss treaty secretariats as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",20,34,7
TH043,Institutional Law,pilot_discovered,10,2,"Working definition (reviewer): passages where authors discuss institutional law as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",10,33,6
TH044,Multi Stakeholder,pilot_discovered,26,3,"Working definition (reviewer): passages where authors discuss multi stakeholder as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",26,28,3
TH045,Learning Network,pilot_discovered,4,2,"Working definition (reviewer): passages where authors discuss learning network as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",4,46,3
TH046,Multistakeholder,pilot_discovered,6,3,"Working definition (reviewer): passages where authors discuss multistakeholder as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",6,3,3
TH047,Learning Agents,pilot_discovered,1,1,"Working definition (reviewer): passages where authors discuss learning agents as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",1,38,5
TH048,Legal Authority,pilot_discovered,6,5,"Working definition (reviewer): passages where authors discuss legal authority as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",6,20,5
TH049,Norms Rules,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss norms rules as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,25,7
TH050,Institutional Arrangements Environmental,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss institutional arrangements environmental as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,62,7
TH051,Institutionalism Organizational Analysis,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss institutionalism organizational analysis as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,4,2
TH052,Secretariats International Environmental,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss secretariats international environmental as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,105,11
TH053,Accountability International Governance,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss accountability international governance as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,34,8
TH054,Institutionalization Private Governance,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss institutionalization private governance as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,14,6
TH055,International Horizontal Accountability,pilot_discovered,3,1,"Working definition (reviewer): passages where authors discuss international horizontal accountability as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",3,11,3
TH056,Autonomous Institutional Arrangements,pilot_discovered,12,2,"Working definition (reviewer): passages where authors discuss autonomous institutional arrangements as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",12,23,7
TH057,Multilateral Environmental Agreements,pilot_discovered,45,9,"Working definition (reviewer): passages where authors discuss multilateral environmental agreements as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",45,108,11
TH058,Multilateral Environmental Governance,pilot_discovered,27,2,"Working definition (reviewer): passages where authors discuss multilateral environmental governance as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",27,226,12
TH059,Institutional Perspectives Political,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss institutional perspectives political as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,28,6
TH060,International Organisations Learning,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss international organisations learning as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,52,7
TH061,Orchestration Regulatory Cooperation,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss orchestration regulatory cooperation as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,3,1
TH062,Partnerships Sustainable Development,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss partnerships sustainable development as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,99,8
TH063,Horizontal Coordination Cooperation,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss horizontal coordination cooperation as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,11,4
TH064,Institutional Framework Sustainable,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss institutional framework sustainable as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,24,6
TH065,International Environmental Regimes,pilot_discovered,26,4,"Working definition (reviewer): passages where authors discuss international environmental regimes as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",26,196,11
TH066,Multilateral Environmental Treaties,pilot_discovered,9,2,"Working definition (reviewer): passages where authors discuss multilateral environmental treaties as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",9,78,8
TH067,New Institutionalism Organizational,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss new institutionalism organizational as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,6,2
TH068,Accountability International Level,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss accountability international level as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,13,2
TH069,International Environmental Treaty,pilot_discovered,3,2,"Working definition (reviewer): passages where authors discuss international environmental treaty as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",3,125,11
TH070,International Policy Coordination,pilot_discovered,27,1,"Working definition (reviewer): passages where authors discuss international policy coordination as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",27,52,6
TH071,Environmental Policy Integration,pilot_discovered,20,2,"Working definition (reviewer): passages where authors discuss environmental policy integration as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",20,66,11
TH072,Integration Environmental Policy,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss integration environmental policy as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,61,10
TH073,Society Participation Engagement,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss society participation engagement as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,23,4
TH074,Unccd Desertiªcation Secretariat,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss unccd desertiªcation secretariat as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,23,4
TH075,Institutionalism Organizational,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss institutionalism organizational as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,5,2
TH076,International Environmental Law,pilot_discovered,45,9,"Working definition (reviewer): passages where authors discuss international environmental law as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",45,220,15
TH077,Strengthening Capacity Building,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss strengthening capacity building as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,31,4
TH078,Global Partnership Development,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss global partnership development as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,21,5
TH079,Rules Governance International,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss rules governance international as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,17,7
TH080,Transnational Rules Governance,pilot_discovered,0,0,"Working definition (reviewer): passages where authors discuss transnational rules governance as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,5,5
